label,yyyy_mm,cnt
Active Users per Month,2014-09,71596
Active Users per Month,2014-10,133919
Active Users per Month,2014-11,83222
Active Users per Month,2014-12,35783
Active Users per Month,2015-01,72607
Active Users per Month,2015-02,88996
Active Users per Month,2015-03,105578
Active Users per Month,2015-04,121508
Active Users per Month,2015-05,125728
Active Users per Month,2015-06,110953
Active Users per Month,2015-07,114016
Active Users per Month,2015-08,93673
Active Users per Month,2015-09,137212
