label,yyyy_mm,cnt
Views,2015-06,28783930
Views,2015-07,30649108
Views,2015-08,21245904
Views,2015-09,25537633
Actions,2015-06,36992649
Actions,2015-07,41327664
Actions,2015-08,27926577
Actions,2015-09,41240085
Impressions,2015-06,59824319
Impressions,2015-07,75128391
Impressions,2015-08,44017049
Impressions,2015-09,49848803
Session Start/Ends,2015-06,14309729
Session Start/Ends,2015-07,16778532
Session Start/Ends,2015-08,9963707
Session Start/Ends,2015-09,10323602
States,2015-06,21242900
States,2015-07,36489205
States,2015-08,30045886
States,2015-09,37752887
Notifications,2015-06,283528
Notifications,2015-07,21262
Notifications,2015-08,4247
Notifications,2015-09,38199
