ApplicationId,Event,Start Date,End Date,Type,Open / Closed,Active Users,Marked as Test App
BEBAB6F8-DE79-4FF9-97C2-8B39820E035A,Greenwich CIO Executive Leadership Summit,2015-10-20,2015-10-20,_Unknown,Closed,28,N
92291613-EBBA-407F-9151-A17971541886,2015 NRECA Regional Meetings 8 & 10,2015-10-20,2015-10-22,Conference,Open,95,N
45998848-9B02-4F70-98F3-0B96AFE28DBD,BNY Mellon ETF Symposium - 2015,2015-10-20,2015-10-22,Corp. External,Closed,51,N
E10FC7E7-A338-4A3F-BA1B-C808886E38A8,Acquia Engage 2015,2015-10-20,2015-10-22,Corp. External,Open,136,N
4029BD44-886E-4423-95FB-77B99B309B3D,2015 J.D. Power AMR,2015-10-20,2015-10-22,_Unknown,Open,229,N
EC93BF2B-244D-4C13-9619-D1D647D8AF1E,Dell World Enterprise Forum,2015-10-20,2015-10-23,Corp. External,Closed,99,N
499280FC-C7B3-4A69-B553-C34B3B5C8735,2015 NAPFA Fall Conference,2015-10-20,2015-10-23,Conference,Closed,139,N
60FF8D56-A176-44E9-A89B-09F684198B6C,2015 MI Mentoring Conference,2015-10-20,2015-10-23,Conference,Open,140,N
523E039D-BD42-4D13-9094-CE5D44E80C7E,2015 RIA Investment Forum West,2015-10-20,2015-10-21,Corp. External,Closed,33,N
D8660DEC-EEA4-45D8-9163-834C9B2ABF7B,Massage Envy,2015-10-20,2015-10-30,Corp. Internal,Closed,5,N
96D97486-F5E9-4894-BE4E-7016CD053046,INTERACTIONS APAC,2015-10-20,2015-10-22,_Unknown,Closed,126,N
A7A1E4D3-C48E-4636-A3C7-EE3986B5DAB6,MarketingProfs B2B Marketing Forum,2015-10-20,2015-10-23,Expo,Closed,356,N
55D4B0C7-617C-4C9F-BA40-A26DE5BE4625,BCMC 2015,2015-10-20,2015-10-23,_Unknown,Closed,174,N
E0DF3FCD-F49B-4442-A77C-996BC55EF054,BESLA Conference 2015,2015-10-20,2015-10-25,Conference,Closed,86,N
F0697432-D445-4743-9DF6-0237F64E05EF,4th Annual Kuwait Institutional Investor Summit,2015-10-20,2015-10-20,Corp. External,Closed,59,N
8E395AB9-335F-4D86-8E68-6EB6A3708C1A,2015 IFA Crossroads Asia Pacific ,2015-10-20,2015-10-22,_Unknown,Closed,70,N
5604F0C3-F401-4186-A1C9-6CF4A9A45AB3,Excellence in Gaming 2015,2015-10-20,2015-10-22,_Unknown,Closed,330,N
496F1B1E-0FE6-4ADB-90E7-40A1AC974965,Tax Lounge,2015-10-20,2015-10-20,Corp. External,Closed,24,N
DA5D32F9-B528-49F0-A297-26C336ED3B43,Dell World Software Forum,2015-10-20,2015-10-23,Corp. External,Closed,194,N
2D5B34FB-1311-4F86-93FF-3F1C122FF240,Houston,2015-10-20,2015-10-20,Corp. Internal,Closed,22,N
BCF2816B-662E-4561-8297-70A4978725D6,Europe Member Meeting 2015,2015-10-20,2015-10-22,Conference,Closed,119,N
218B7031-AA2D-4E6C-AFA0-D7E2DAD6D8AF,Main Track - Dell World,2015-10-20,2015-10-23,Corp. External,Closed,709,N
2E98531E-1C71-427C-B85A-825E4B21C537,BlackRock Investment Forum – Merrill Lynch,2015-10-19,2015-10-20,Corp. External,Closed,123,N
ED9B7CA0-D88A-4256-B111-F25432F85A9A,LendIt Europe 2015,2015-10-19,2015-10-21,Corp. External,Closed,311,N
65D442EB-0E3D-4D6D-918D-25197B8B75DF,Akamai Edge 2015,2015-10-19,2015-10-23,_Unknown,Closed,498,N
7E851FE8-4449-40AC-B346-644CDC9D54A5,eyeforpharma Patient Summit USA 2015,2015-10-19,2015-10-20,_Unknown,Closed,129,N
EB9B57CF-C5D9-46F7-823E-077190D9B975,Kronos SKO 2016,2015-10-19,2015-10-22,Corp. Internal,Closed,923,N
42ECE686-28BC-487C-B32F-F0584AB6699E,Krispy Kreme Global Partner Summit,2015-10-19,2015-10-22,Conference,Closed,262,N
3018FB94-289F-47C5-8B07-2B9574A30B2A,iShares Due Diligence,2015-10-19,2015-10-20,Corp. Internal,Closed,1,N
1E430AFD-DF61-466E-8FEC-83EE0EA17A7B,TSW 2015 Service Transformations,2015-10-19,2015-10-21,Expo,Open,1049,N
02F83088-1683-4145-90E9-84BD19F7A67E,Jump Start 10/19/15,2015-10-19,2015-10-19,_Unknown,Closed,92,N
5EE5BF3D-6F1F-4638-950A-129A5A4C4C1B,Applied Net 2015,2015-10-19,2015-10-22,Corp. External,Closed,1529,N
566D5CD1-8329-4068-A7FE-1FBD1673331F,Clio Cloud Conference,2015-10-19,2015-10-20,_Unknown,Open,353,N
DE7EDE5E-613A-434F-9F6D-AD45829EFA5D,ICMI Contact Center Demo & Conference 2015,2015-10-19,2015-10-21,Expo,Open,257,N
BB2A543C-31CB-498A-951F-91EA806655A8,AirWatch Connect Sydney 2015,2015-10-19,2015-10-21,_Unknown,Open,116,N
0083BBB9-23CA-4329-8FFD-BF0BE0BA5874,Blackrock Investment Forum for Ameriprise,2015-10-19,2015-10-20,_Unknown,Closed,51,N
0E27DD94-9832-4092-9080-E5227B4F844A,72nd NCAI Annual Convention & Marketplace,2015-10-19,2015-10-23,_Unknown,Open,212,N
A4A4F059-E653-4EA7-B3E2-B009B2C528E8,PARCEL Forum 2015,2015-10-19,2015-10-21,Expo,Open,213,N
89E5DDA1-3272-4617-ADAA-C232FAAE0306,The Reds,2015-10-19,2015-10-23,Corp. Internal,Closed,30,N
E6090FB9-F9EE-4BD8-A285-2B3B900644E0,GTEC 2015,2015-10-19,2015-10-21,Expo,Open,149,N
3ADB7858-FCFD-43C2-AE4E-ABFB48CD5B45,2015 HR Directors' Forum,2015-10-19,2015-10-20,_Unknown,Closed,45,N
B7557816-9D1A-4A9F-AAE3-6066C604A8AD,Electric Power Technical Conference,2015-10-19,2015-10-23,Corp. External,Closed,151,N
8901FA00-9349-45F4-A9E5-5403AE53BC02,POL Conference on Volunteering and Service,2015-10-19,2015-10-21,Conference,Open,777,N
75246B34-800F-4685-A438-70B54BC1CD86,2015 IEI Design Seminar Americas,2015-10-19,2015-10-22,_Unknown,Closed,102,N
40FBEE1A-08BD-47BA-B6F3-5D7753E47755,DevOps Enterprise Summit 2015,2015-10-19,2015-10-21,Conference,Open,757,N
1E542675-DE09-4DE8-9DEE-ABA4F97D7102,ASHRM Annual Conference 2015,2015-10-18,2015-10-21,Conference,Closed,1573,N
DA3BB1DA-332F-48BE-903A-B9FEBB333C52,EuroDoble 2015,2015-10-18,2015-10-21,_Unknown,Closed,46,N
3A30ED50-CEE9-40AF-92A0-DF581C8FE8A3,20th Annual ASHP Conference for Pharmacy Leaders,2015-10-18,2015-10-20,Conference,Open,403,N
1A9566D3-B868-4F14-A005-5996588A7EBE,11th Annual Customer Contact 2015 West,2015-10-18,2015-10-21,Corp. External,Closed,216,N
49D93430-E8A5-449A-9BA0-1B25D58711EF,DrivingSales Executive Summit,2015-10-18,2015-10-20,Conference,Open,684,N
341E89BE-4A45-4EE6-959C-7A299385BBE2,2015 AD North American Meeting - Industrial,2015-10-18,2015-10-21,_Unknown,Closed,374,N
471E889C-6927-404C-80AC-4145C118AF82,AAA Travel Conference,2015-10-18,2015-10-20,_Unknown,Open,152,N
B4E14216-655F-4E0A-98A3-2BCE58E680DA,Fast Casual Executive Summit 2015,2015-10-18,2015-10-20,_Unknown,Closed,218,N
FF3F4BCD-8FF1-4AE8-AEB4-3DE4E9322475,P.F. Chang's 2015 Partner Conference,2015-10-18,2015-10-21,_Unknown,Closed,314,N
6E1AD880-B7BA-4D14-BA69-5C8ED0AD25AF,CPO Exchange 2015,2015-10-18,2015-10-20,_Unknown,Closed,40,N
E93F3D74-5A68-4DB7-AA27-5FEF10B4E295,CGI Forum 2015,2015-10-18,2015-10-20,Conference,Closed,522,N
