Action,Taps,% of Total Taps
Menu - Agenda,2285,15.36
Menu - Activity Feed,1549,10.41
Profile - (Other),1346,9.05
Poll - Start,624,4.20
Poll - Submit,496,3.33
Menu - Attendees,490,3.29
Survey - Submit Response,489,3.29
Notifications,430,2.89
Profile - (Self),415,2.79
Survey - Enter Response Text Field,361,2.43
Menu - Item (Logistics Info),319,2.14
Profile - Submit,249,1.67
Menu - Surveys,227,1.53
Menu - Item (Arrival airport transfer),202,1.36
Item (Industry Practice Meeting ),201,1.35
Profile - About,200,1.34
Menu - Item (Capability Product Trade Show (MUST READ)),199,1.34
Item (Industry Practice meeting (sector relevant capability product training)),177,1.19
Menu - Photofeed,176,1.18
Promoted Post,175,1.18
Survey - Toggle Response Choice,153,1.03
Poll - View Results,140,0.94
Survey - Start,139,0.93
Status Update - Enter Text,130,0.87
URL (http://www.discoverhongkong.com/eng/index.jsp),125,0.84
Item (Cocktail Reception & Practice Dinner),122,0.82
Profile - Activity,107,0.72
Item (Practice dinner - please meet at the lobby at 7pm and take a 3 mins walk to the dinner venue),105,0.71
Menu - Item (Onsite Support),103,0.69
URL (http://www.hko.gov.hk/wxinfo/currwx/fnd.htm),99,0.67
Survey - Select,99,0.67
Profile - Picture,99,0.67
Item (Plenary Session (I)),86,0.58
Item (Core Capability Affiliate Breakfast session),86,0.58
Profile - Network,79,0.53
Status Update - Upload Photo,78,0.52
Status Update - Start,78,0.52
Menu - Switch Event,73,0.49
Item (Capability Product Trade Show (Lunch)),69,0.46
Folder (Emergency Contacts & Safety Tips),64,0.43
Status Update - Cancel,62,0.42
Item (Macro Panel (Optional)),59,0.40
Notifications - Clear,56,0.38
Settings - Allow Location (On),51,0.34
Item (Welcome Dinner),49,0.33
Item (Principal/Manager Meeting),47,0.32
Item (PPK Cocktail Reception),46,0.31
Menu - Polls,45,0.30
Item (Mix & Mingle),44,0.30
Item (Plenary Session II (with lunch)),40,0.27
Item (Account Planning sessions (Lunch) - by Invite),40,0.27
Send Message - Start,38,0.26
Item (Breakfast ),38,0.26
