applicationid,yyyy_mm,name,inapp_ind
1C7A6FC2-C1B3-4001-94EB-044D83AB19AE,2015-12,2015 Africa Government Funds Roundtable,ON
1FCC1D71-8E5A-4BCF-BCE3-3F013750A822,2015-12,2015 American Epilepsy Society Annual Meeting,ON
31BB948C-35A8-409E-8D0D-95B463E98400,2015-12,2015 CETPA Annual Conference,ON
505A5D20-24A6-4EE5-930B-40B72851D52D,2015-12,2015 Forbes Healthcare Summit,ON
62346854-CCEE-4C59-9D0B-28464C33E572,2015-12,2015 Global ETCS Year End Meeting,OFF
06524360-60E1-498C-9B12-73BF955A3BB2,2015-12,2015 HEGRC,ON
165321D2-4122-4A96-AFE8-22E54AD0F114,2015-12,2015 Midyear Clinical Meeting,ON
7ACCD7D9-A253-45F1-B15B-30F20E809283,2015-12,4Q15 Consumer Group Town Hall,ON
A6556C78-2EBE-43B2-8DB4-9391B020AA07,2015-12,ANA Digital & Social Media Conference East,ON
9AFD7D6C-C68A-4032-8FEC-6A2F4E794B2A,2015-12,Autodesk University Las Vegas,OFF
A8D45D1A-ED39-47D3-A245-64753D261543,2015-12,Aviation Leadership Event,OFF
91880A90-4383-4C57-BD3C-8F9E13EEB65B,2015-12,AVP Team Up,OFF
2C79010D-5D9D-456C-AF5E-25FB0B63560D,2015-12,BlackRock 2015 Wealth Symposium,OFF
20B17042-C7B9-4DFF-B98F-D075F7D599EA,2015-12,BlackRock Insights Advisory Council Roundtable,OFF
59D515DE-F241-4149-AFE2-FB66A7491B0A,2015-12,BlackRock Investment Forum for Morgan Stanley,OFF
4CCB7DF4-2DF3-46AC-89A1-5ADC5E18F30F,2015-12,BLG Magic,ON
068A0C3C-FD23-4ABC-957A-EF9317F7121C,2015-12,Cisco Chairman's Club,OFF
938E1462-E43F-42C9-BDA5-6129605B037A,2015-12,CodingCon 2015,ON
7C56BC3C-B8BD-42A9-B11B-6B221B661C31,2015-12,CPhI India,OFF
18CEA15C-2E2B-42D4-9A02-082CA6F20EA5,2015-12,Day of Learning 2015,ON
DC1BEB6E-BCBA-4928-87B4-078E59741944,2015-12,Designers of Things 2015,ON
2AD4B27F-CC73-4AEF-B821-D771B7AF68E9,2015-12,EU Commercial Summit 2015 ,ON
23D3F74E-2DD2-4287-B437-CDDD0C9C5439,2015-12,Exhibitors Event 12/3,ON
E7DBE508-1E84-4EF9-BF3D-577C789C4DE5,2015-12,Fi Europe,OFF
906AB373-59AE-49A8-83AF-96F50AF6959C,2015-12,FORTUNE MPW Next Gen Summit,ON
962F96AC-2C70-4BE7-AE17-7AA977690080,2015-12,FORWARD 15: Action Before Reaction,OFF
A56E9D6A-E4D3-410A-9A55-371F7980D81A,2015-12,G and A Kickoff,OFF
914BB4AA-C3FF-499D-A5A3-14B86A904F28,2015-12,GE Power at PGI 2015,OFF
B6BB9725-FE9A-4F5A-BBA1-25F1100BFAC1,2015-12,GE Supply Chain Forum,ON
32AA9EAC-6013-4B5B-BE53-6899900725A6,2015-12,iCamp 2015,ON
E559F4B4-A519-493E-8977-52CCB5E699AB,2015-12,Ignite Partner Conference 2015,ON
D9943542-7E41-4699-AAB8-AB5916E2C764,2015-12,ISM Indirect 2015,ON
A2E1E183-750F-41A7-8CBE-BA0EA50C352F,2015-12,JJDCC Leadership Summit,OFF
2A9455C5-94BB-4716-8BD6-EC83BF985538,2015-12,Jump Start 12/7/15,ON
6124E529-3B82-4C91-8C0D-1EC87EBCFBFE,2015-12,Leadership Summit 2015,OFF
9EE11F23-CB25-40F4-9C4F-E3C79860F0B7,2015-12,MACo December 2015 Winter Conference,ON
81363F34-31C3-40A9-BBE4-57A3EC3752EB,2015-12,Marintec China,ON
1DD26BEE-675A-435A-BF7B-10B151764EAA,2015-12,MasterCard LAC Innovation Forum,ON
CE224F44-F32F-47C1-A594-A04DE7CEC4CB,2015-12,[next] 2015,OFF
FC43DE30-8E51-4BCB-8452-F30F1CEA4860,2015-12,Nonprofit Finance & Accounting Symposium 2015,ON
6881B912-CD23-4FF2-A159-6D631E15BDAA,2015-12,Open Day - 5 December 2015 ,ON
5EC1DDBF-50DB-484B-8ABB-B20D2DC66E5F,2015-12,Paris 2015,OFF
6CF61567-55A5-4FEA-BCB2-93E2B1501A6F,2015-12,People Leaders,OFF
526FBB81-966C-4D32-A7A2-E4474E301481,2015-12,PwC's Internet of Things..Changing the future,OFF
29CDFBEC-C6EE-437F-BD49-6BAC62B6D297,2015-12,Real World Evidence & Market Access,ON
C02E4959-F123-48C0-8BA2-19948F4815CE,2015-12,Sime MIA (Miami),ON
CA3C48F1-5B08-477F-8B63-A46A2EE41216,2015-12,SoCal CIO Executive Leadership Summit,ON
66E42C7F-B9D6-4270-B41A-4441F0E3C8C8,2015-12,Steuerforum 2015 Solothurn,OFF
B622F95C-5DF1-4FE4-B6E5-EF91EB532255,2015-12,Steuerforum 2015 St. Gallen,OFF
6321133A-7439-4EE1-AB26-5BA1137A0430,2015-12,Stream Africa ,ON
75ABA51C-BDA3-484E-A945-2A5FC26D3EF6,2015-12,TETC,ON
7A4444B6-2FCE-438F-97A3-EBE5C83DA5BC,2015-12,The Buildings Show,OFF
6E2B9D93-7F05-4135-A16C-BE3605143A5B,2015-12,The Running Event 2015,OFF
58E53701-4500-499D-BAA5-D703CEEF57C1,2015-12,Tier 3 Sales Meeting,ON
527EDFA2-225D-47DF-80A4-0FE6B3691134,2015-12,Transform Progress Sales & Marketing Kickoff ,ON
74DADB28-26C5-4AB0-A3C6-B722F65CB00C,2015-12,TransUnion 2015 Leadership Meeting,ON
177A613D-E374-46AF-B5EE-A77BF29A233A,2015-12,TransUnion Financial Services Summit,OFF
72AA55FA-5973-48A0-8EEF-8492DC576FAD,2015-12,UBM Canon San Jose 2015,OFF
03D12DF1-7A86-411C-9589-AE30CC76F899,2015-12,WI National Relationship Management Meeting,OFF
9156B9F3-233C-4FAE-8493-39BBA2695AFE,2015-12,Women's Voices Heard:State Legislator's Sum,ON
4E9AEC9B-CCE5-4554-A97F-84E4BDDC9504,2015-12, CRH Europe Lightside Innovation Forum,OFF
DFA04AD2-6364-4496-9178-C0B78F971B44,2015-11,2015-10th Annual FDA Inspections Summit,OFF
E1E5FFD1-E8E9-4D79-AF90-4EBA595ACD7B,2015-11,2015 African Studies Association Meeting,ON
D6AD6B4D-2D3B-45A2-B7F7-66C5118C2907,2015-11,2015 AISES National Conference,ON
FCF8BC47-F808-4FF8-B400-4A1298F215C0,2015-11,2015 Asia/Pacific Regional,ON
AF8FD8C8-22F0-46D3-9AA5-92B593644F34,2015-11,2015 BNY Mellon Consultant Conference,ON
B7634ED7-0706-4907-A4AF-2016BC5C2319,2015-11,2015 Branch Managers Meeting,ON
398F4A11-782F-4751-BC06-3750B12FBC82,2015-11,2015 Canadian Pool & Spa Conference & Expo,ON
55077CD6-064B-4C57-9331-F679AE706C20,2015-11,2015 CFO Best Practices Forum,ON
2FE5DA24-E1D3-46EC-8B60-CCE93B0B039E,2015-11,2015 County Leaders Conference,OFF
A35C0B6A-174F-4F51-AFC1-CA1E579E5F1A,2015-11,2015 Defined Contribution Summit,OFF
3444A4A6-22C9-4044-9051-EB5EB5645230,2015-11,2015 Fee Symposium,ON
EE638878-5259-4637-9083-3EEEB05DB9E0,2015-11,2015 Forbes CMO Summit,ON
366A456B-AC02-47EF-AA9A-6C9F5C5DA85A,2015-11,2015 GEM RTTW,OFF
1A485F78-17A7-417A-BCA8-C8D199A56F8E,2015-11,2015 GEO Pan European Regional Event ,ON
9793F047-FE85-43E6-B801-87C248EB274A,2015-11,2015 Global Management Meeting,ON
B9F34DAB-28C1-4135-A5DA-604D913B7A26,2015-11,2015 Global Wellness Summit,ON
B9F34DAB-28C1-4135-A5DA-604D913B7A26,2015-11,2015 Global Wellness Summit,ON
C18024D6-0EC0-45BE-9531-1B285B5021B3,2015-11,2015 GS&SO,OFF
C1B1675D-4041-4A8C-BCF5-60D93F5E8719,2015-11,2015 HACR LPP & STEM INITIATIVE,ON
C9F712EC-5E69-4927-957C-29671380717B,2015-11,2015 IFA Strategic Forum,OFF
D4DB9DB1-41CB-4CD9-B005-A4DF56489F7E,2015-11,2015 ISA PCS Symposium,ON
D4DB9DB1-41CB-4CD9-B005-A4DF56489F7E,2015-11,2015 ISA PCS Symposium,ON
79BE0015-8A6C-4C58-BC4F-8B6972356D13,2015-11,2015 Kaufman Leadership Meeting,ON
EB859A87-FCD7-4D24-AB8A-0987FE3BB603,2015-11,2015 Middle East Institutional Investor Summit,OFF
D507791B-D1E0-4E35-A1A9-6C4881B1A174,2015-11,2015 NAEYC Annual Conference and Expo,ON
A09A0D11-F8AC-40CE-A152-B6B88EE8EC7A,2015-11,2015 National Medical Conference,ON
086DE2C6-D69F-4C97-81F6-1DB36873D297,2015-11,2015 North American Forum on Family Planning,ON
6C184304-D46B-47CF-B458-EDB2D329DA72,2015-11,2015 OESA Annual Conference,ON
3B811EBA-6700-4398-BC4A-518B7C71E515,2015-11,2015 OFN Conference,ON
ADCF81D3-D3ED-400F-B051-0498FBFD8178,2015-11,2015 Oman Institutional Investor Summit,OFF
F769FFDF-4D89-4023-BBCE-D0CACD3DFB44,2015-11,2015 PI Fall Leadership Forum,ON
30CBD4E5-B274-4E7F-9A79-B2D19F462F39,2015-11,2015 SMR Congress,ON
55A6C448-B915-4404-9B58-0EC5AE3F6D4E,2015-11,2015 TCS Conference,ON
109D3FA1-FEAD-472C-8F8B-0796F8407110,2015-11,2015 Thought Leadership Roundtable,OFF
110649EB-44C8-42BB-AAC7-4A2B49B15D2D,2015-11,2015 Utah Bar Fall Forum,ON
026699E5-8DF1-44D8-880C-2E8AE893A601,2015-11,49th Annual ABCT Convention ­ Chicago,ON
AAC5D2F6-4B9E-4931-A1F4-4B3D740A96F3,2015-11,5th Zurich Regional and Global HQ Conference,OFF
E0CFA08B-2270-42AD-83BF-0DA356F71726,2015-11,6th Geneva Regional and Global HQ Conference,OFF
3292E3D7-C0D4-4A02-B564-A6E3DD165CC9,2015-11,AACRAO SEM Conference 2015,ON
F17781E8-DDF0-4E6E-B4BB-DE146D33DE77,2015-11,AAP 2015 Annual Meeting,ON
A9BD35E5-E23D-424E-B880-0C63C6857560,2015-11,ABA/ABA Money Laundering Enforcement Conference,ON
627E9977-4C8C-4ED1-9A83-629FC6ED070B,2015-11,ABA Annual Convention,OFF
AE077925-65FE-437E-84E2-36E29C2E8D07,2015-11,ABC Leadership Week,ON
B65975DB-61D8-4836-80D2-4D7C3C2D50D7,2015-11,Age Of The Customer Executive Summit,ON
C9A0BD51-FEB6-4435-987A-D3B38712274E,2015-11,AirWatch Connect Frankfurt,OFF
0F824BF6-937C-4D3B-BBCA-5D89EC74397F,2015-11,AirWatch Connect Paris,OFF
1CB5A7E2-D55E-40E5-BEC3-5F8588661DD1,2015-11,AirWatch Connect Stockholm 2015,OFF
7877DA20-4532-4DA0-BFBB-C5570050BB22,2015-11,Alcon at the AAO Annual Meeting,OFF
C1DB74E0-6B7D-4005-827D-FC3FE7006B1C,2015-11,Alternatives Training,OFF
2F603624-60B2-4B77-B4D3-A214061A0278,2015-11,AMERICAS bioMerieux,OFF
B228009B-F8D1-4EB3-8DB4-1D2F4B4CA512,2015-11,Amex M&E Demo 2015,ON
1DDEEDE1-3CFD-4DAB-831A-DC8937150CF0,2015-11,Amsterdam - Week van de Ondernemer,OFF
8C63571C-50A0-4D84-B56E-30C1A349472D,2015-11,Analytics 2015 - Rome,OFF
17F53E2A-AA00-4CB7-9F29-47C6E2403A13,2015-11,ANA Multicultural Marketing & Diversity Conf,OFF
A3A29BD9-9410-4AAA-A028-85904DA2DFBA,2015-11,Annual Conference and Exhibition,OFF
7312DFA0-2F8E-44FD-8635-F0851AB4570B,2015-11,Architecture Exchange East,ON
9020F3F0-8C87-4EEE-9C8D-50555F94503A,2015-11,ARM TechCon 2015,ON
1B4F5EC4-F53C-47EF-8915-B8F867CCE386,2015-11,Ashford TLC,ON
93164DBA-58DB-47D3-BDDD-238151237987,2015-11,Asia CM COP 2015,ON
0000B092-C9F5-4147-ADBF-3A14EDDFE0E5,2015-11,Asia Pacific Leadership Team Meeting,OFF
92BA3184-D799-4C17-8770-8106AD0E10DE,2015-11,ASI Leadership Conference 2015,ON
A2FD2D3C-BD83-4C6A-A74D-4A9981C44ED6,2015-11,Association AK School Boards Annual Conf.,ON
E52DA42E-0213-4F1E-A22F-6DB6CAD072C7,2015-11,Atlassian Summit 2015,OFF
1099AF65-F332-40A8-B154-F8EF44EE1BEE,2015-11,Atlas World Group Convention,ON
ABDF2D18-55B9-4D8E-894D-EA83143A542C,2015-11,Avnet Partner Summit 2015,ON
969CD627-EB94-4453-A926-6E109D855972,2015-11,Awards 2015,OFF
44544716-BB30-497A-B0EB-2753A9DC1680,2015-11,Bain Executive Digital Immersion,OFF
9D860A9D-90E6-4543-836D-092127416860,2015-11,Basel, Financial Reporting Update Autumn 2015,OFF
E74AD3D5-23F7-4681-90F3-B3E38124D4B4,2015-11,Berne, Financial Reporting Update Autumn 2015,OFF
7150DA80-61DB-4F11-AA93-05DB2C20A4F7,2015-11,Be The Brand ,ON
44DA8459-232D-48B8-97F8-28C2AE8BC260,2015-11,BGS Global Leadership Summit,ON
E3C99BB6-8CE5-4652-B835-94CF9133BB65,2015-11,Big Smoke Las Vegas 2015,ON
47BAB830-5D08-47D0-B97E-1665E14DE485,2015-11,Biloxi,ON
5ABC59E1-63EA-4741-A09E-E5966A98ABD5,2015-11,BIO TechXpo15,OFF
6F359437-ED8E-4DEA-B3A5-87C7ED57EA53,2015-11,Black Hat Europe 2015 ,OFF
2591374C-0325-446E-AD5A-11AAF309734B,2015-11,BlackRock Investment Institute,OFF
B13FFCC8-2E60-4DDE-B3D1-0AC8D088E6E1,2015-11,BLG’s 2015 Toronto L&E Law Symposium,ON
E7AAF264-6BF6-49A5-BDF3-C71C4FB34739,2015-11,BSAS Sustainable Investing Seminar,ON
DF3FB344-5092-4FC1-AF5F-289A0684C685,2015-11,Business Aviation Convention & Exhibition,ON
0754F5F3-AAF3-4BAD-BA0B-DADFB7EFF34A,2015-11,Canadian Heavy Oil Conference,ON
B4C4ED4F-DA58-414F-94CA-78A776FE9DD7,2015-11,CAOC Convention 2015,ON
94EBE0EF-04D6-48DA-AD97-2FB682FCF807,2015-11,Cape Town Event,OFF
C6A89199-93A6-42D5-8C85-561CCC32E79A,2015-11,Caterpillar Start­-Up Challenge,OFF
28BB61F1-EC5C-4B05-ABE9-45E3CC1CA0BF,2015-11,CA World '15,OFF
AAE96384-DF41-4851-9185-8A2A5A9149FD,2015-11,CDW Partner Summit 2015,OFF
A6B67924-4F57-4451-B6B1-75B0CAA1728B,2015-11,CEO Roundtable,OFF
76CE3EFA-D7D6-4918-814C-E8409C4F6B62,2015-11,CFC IBES 2015,ON
979DBFF9-9416-46B8-A87F-9482E7519C56,2015-11,CGI ARM UGC 2015,ON
2D8EDF8B-EF1E-4692-B44E-81D9BA95A525,2015-11,Ciena 2016 Sales Kickoff,OFF
BE6FB113-E179-45C9-8EA1-12170ECF7B1D,2015-11,CIODAY ,ON
0A986AED-2271-4D95-B03F-637B5AC46944,2015-11,Cisco Winner's Circle EMEAR,OFF
E6387E25-BCBC-4B37-9AF9-C4920175D764,2015-11,ClickZ Live Chicago 2015,ON
26019227-73D6-4B41-AE62-9C77BF9087EF,2015-11,Clink Social,OFF
5A7632A4-248C-4C8D-8C9E-1706044FDC66,2015-11,CMF 43rd Annual Conference,ON
23F54FBB-6406-46AD-B32B-A2FDD707C075,2015-11,CNS Eagle Summit,OFF
5D300056-179A-4EAE-BCC3-11287A7B3801,2015-11,Commercial Approach Romania,OFF
EF0A8D0B-E986-463D-BB4B-28ED6AEFA01D,2015-11,Compliance Conference,OFF
1420687D-100E-40A3-9493-F9E383BBCBAE,2015-11,Confidence Delivered,ON
4DB97873-8345-45EC-993C-71D3059E630B,2015-11,Connect 2015,ON
00D1C9A1-2A9C-48D7-8130-15DF8D200DF0,2015-11,Connect 2015,ON
D958D6B4-6FE5-47BB-8807-AA999EC7D90A,2015-11,Constellation's Connected Enterprise 2015,ON
F4DAEF20-FEF6-4EDC-B02A-76377354B22C,2015-11,Consulting Leaders' Meeting FY16,ON
04152A6D-D15A-4A4C-B90C-0594A67A2C17,2015-11,Converge Las Vegas,OFF
3314EF89-E503-4BD1-B2FF-A4AF24B7D44A,2015-11,Corporate Learning Week,OFF
63C9DBCE-4F3C-40DC-A9C8-B366CCA518FB,2015-11,Corporate Reporting Event 2015,OFF
AB6B14FD-A926-47B1-BF04-C02E213F5CB2,2015-11,Cosmoprof Asia 2015,OFF
81EBCF8A-9884-44CF-9FE9-7A9438077B15,2015-11,Credit Roundtable Fall 2015 ,ON
5570F1B6-13D1-4ADC-9781-F9BC81C84231,2015-11,CRH ComEx Meeting 2015 ,OFF
0900ACEA-66D1-4574-A0C0-EFC77190E8CB,2015-11,CTN animation eXpo,ON
C49E3BCF-9064-44D5-BFC7-128FE8BA5E6A,2015-11,DCD Canada,OFF
714F1157-F2E7-4905-8E46-952716E6420A,2015-11,DCD Converged Brazil,OFF
EFC719BB-9E47-41CC-8A90-31C49C8C8D23,2015-11,DCD Converged Chile,OFF
DD04DE05-8C81-44DA-8DF6-BF4BF4B4B2B9,2015-11,Decoded Fashion Milan,ON
