Sales Pipeline,AccountID,Event Name,Identify Date,Prospect Date,Quote Date,Negotiate Date,Close Date,Days from Create to Closed,Related Email Domain
Identify,001E0000010MnkhIAC,Turner Construction - FL 365 2016,2015-12-01 22:49:05,,,,2016-02-01 00:00:00,62.0,
Identify,001E000001Jw2Y0IAJ,Massachusetts Smart Growth Alliance - MSGA 2016 365 App,2015-11-11 21:26:08,,,,2016-02-08 00:00:00,89.0,
Closed Won,001E000001KsNllIAF,caisse des dépôts et consignations-,2015-11-11 10:39:44,2015-11-12 14:51:24,2015-11-13 07:42:26,,2015-11-17 00:00:00,6.0,
Quote,001E000000VOOCFIA5,Hewlett-Packard - Mobility Sales Training + Community,2015-11-09 22:17:45,,2015-11-13 23:01:01,,2015-12-31 00:00:00,52.0,
Identify,001E0000015lDZnIAM,IDG / RDCS Growth & Development-,2015-11-04 11:15:43,,,,2015-12-31 00:00:00,57.0,
Closed Lost,001E000001JwAZ1IAN,Philips Innovation Awards - 2 events,2015-11-02 12:29:06,,,,2015-12-31 00:00:00,59.0,
Closed Lost,001E000001Jw4RWIAZ,Rautveckling 2016 events,2015-10-30 11:42:28,,,,2015-12-31 00:00:00,62.0,
Closed Lost,001E000001Jvv0cIAB,Crosby Auto Group- April Event,2015-10-28 18:27:52,2015-11-10 17:48:42,,,2015-11-17 00:00:00,20.0,
Closed Lost,001E000001JvZHEIA3,Hydrocephalus Assiciation-Bi Annual Conference 2016,2015-10-27 16:41:50,,,,2016-01-28 00:00:00,93.0,
Closed Lost,001E000001Jvj0YIAR,Catalyst Miami-,2015-10-27 15:01:54,,,,2015-12-31 00:00:00,65.0,
Quote,001E000001JvhVUIAZ,Enercoutim Platform Opening Event,2015-10-27 08:35:06,2015-11-11 11:02:07,2015-12-02 12:41:40,,2015-12-31 00:00:00,65.0,
Quote,001E000000wPzJfIAK,Chicago Minority Supplier Development Council - 2016 Chicago Business Opportunity Fair (via CEI Media Group),2015-10-26 22:48:37,2015-10-29 17:53:05,2015-11-25 16:56:51,,2015-12-31 00:00:00,66.0,
Identify,001E0000010Lx4JIAS,Estrategica- May 2016 event,2015-10-22 17:43:41,,,,2016-02-18 00:00:00,119.0,
Prospect,001E000001JvOFmIAN,Caterpillar Spain Training Events,2015-10-22 12:33:47,2015-11-12 16:14:14,,,2016-01-16 00:00:00,86.0,
Identify,001E000001Jv9n2IAB,Jamaican Bar Association-2016 Annual Meeting,2015-10-20 16:56:27,,,,2016-02-25 00:00:00,128.0,
Prospect,001E000000UM64KIAT,Rust-Oleum Sales Meeting - 2016,2015-10-19 18:56:13,2015-11-02 20:44:00,,,2016-02-12 00:00:00,116.0,
Negotiate,001E000001Jv0uAIAR,Innovation Arabia,2015-10-19 12:20:07,,2015-11-17 12:16:18,2015-11-22 08:26:31,2015-12-16 00:00:00,58.0,
Identify,001E000000eIx0gIAC,Novartis AG 17-20th November 2015 II,2015-10-19 09:53:47,,,,2015-11-30 00:00:00,42.0,novartis.com
Closed Lost,001E000001Ju6kJIAR,Renesas Electronics Singapore - APAC Events 2016,2015-10-16 10:04:50,2015-10-19 06:21:07,,,2015-11-02 00:00:00,17.0,
Prospect,001E000001IP4L8IAL,2016 ITNS & AANC Annual Meetings: AMC Events,2015-10-14 20:28:05,2015-10-16 18:26:52,,,2016-01-04 00:00:00,82.0,
Prospect,001E000001ItFlUIAV,Weston Public Professional Dev Days 2015-2016,2015-10-14 14:06:23,2015-10-19 06:34:17,,,2015-12-24 00:00:00,71.0,
Prospect,001E000000fQfnSIAS,UC Davis - Environmental - Health and Safety Summit,2015-10-13 22:09:30,2015-10-19 17:02:26,,,2016-01-31 00:00:00,110.0,ucdmc.ucdavis.edu
Closed Lost,001E000001IP4KyIAL,Integris Health-,2015-10-11 02:04:47,,,,2015-12-31 00:00:00,82.0,
Closed Won,001E000001IORLjIAP,Solar Week 2016,2015-10-07 17:25:20,2015-10-13 19:20:12,2015-10-13 19:35:02,2015-10-15 19:56:37,2015-10-30 00:00:00,23.0,
Quote,001E000001It6twIAB,IL Probation and Court Svcs Assoc.-,2015-10-02 22:36:05,2015-10-06 21:33:11,2015-10-19 18:27:37,,2015-12-31 00:00:00,90.0,
Closed Lost,001E000000kbKEnIAM,Lee Memorial Health System-Annual Meeting 2016,2015-10-02 19:52:16,2015-10-15 17:57:04,,,2016-01-29 00:00:00,119.0,
Identify,001E000000lnW26IAE,Omnicell - SKO & Product Launches 2016,2015-10-01 09:16:55,,,,2015-12-14 00:00:00,74.0,
Closed Lost,001E0000015lNmMIAU,MARUG Marketing Conference 2016,2015-09-30 02:46:58,,,,2015-09-30 00:00:00,0.0,
Closed Lost,001E0000010N23kIAC,Orange-,2015-09-30 01:55:07,,,,2015-09-30 00:00:00,0.0,
