Year-Month,Active Users,% Users Tapped (from Active Users),% Users completed Web Form (from Users Tapped)
2015-12,1555270,0.09% (1392),0.00% (0)
2015-11,7317827,0.08% (5606),2.05% (115)
2015-10,8721977,0.09% (7762),0.00% (0)
2015-09,4301749,0.13% (5585),0.00% (0)
2015-08,4020743,0.06% (2381),0.29% (7)
2015-07,6297101,0.06% (3671),0.19% (7)
2015-06,5549034,0.12% (6712),0.00% (0)
2015-05,4632942,0.16% (7544),0.11% (8)
2015-04,5192633,0.06% (2963),5.16% (153)
2015-03,5101692,0.02% (1116),9.32% (104)
2015-02,3484854,0.00% (23),400.00% (92)
2015-01,3311114,0.00% (15),286.67% (43)
2014-12,2154400,0.00% (64),1.56% (1)
2014-11,2864529,0.00% (84),0.00% (0)
