yyyy_mm,sessions,pct_in_bucket
2015-04,1,34.07
2015-04,2,23.10
2015-04,3,12.46
2015-04,4,7.83
2015-04,5,6.06
2015-04,6,2.87
2015-04,7,2.76
2015-04,8,1.98
2015-04,9,1.54
2015-04,10,1.27
2015-04,11,0.99
2015-04,12,1.05
2015-05,1,22.10
2015-05,2,18.20
2015-05,3,13.77
2015-05,4,9.29
2015-05,5,6.33
2015-05,6,5.79
2015-05,7,4.04
2015-05,8,3.14
2015-05,9,2.09
2015-05,10,1.94
2015-05,11,1.23
2015-05,12,1.03
2015-05,13,1.10
2015-05,14,0.90
2015-05,15,0.67
2015-05,16,0.62
2015-05,17,0.62
2015-05,18,0.58
2015-06,1,14.02
2015-06,2,13.90
2015-06,3,11.89
2015-06,4,8.82
2015-06,5,6.91
2015-06,6,5.85
2015-06,7,4.50
2015-06,8,3.52
2015-06,9,3.11
2015-06,10,2.73
2015-06,11,2.35
2015-06,12,1.67
2015-06,13,1.47
2015-06,14,1.51
2015-06,15,1.25
2015-06,16,1.06
2015-06,17,0.83
2015-06,18,0.75
2015-06,19,0.81
2015-06,20,0.68
2015-06,21,0.65
2015-06,22,0.61
2015-07,1,3.77
2015-07,2,3.41
2015-07,3,3.02
2015-07,4,2.67
2015-07,5,2.33
2015-07,6,2.28
2015-07,7,2.10
2015-07,8,2.02
2015-07,9,1.77
2015-07,10,1.76
2015-07,11,1.76
2015-07,12,1.60
2015-07,13,1.50
2015-07,14,1.53
2015-07,15,1.49
2015-07,16,1.37
2015-07,17,1.24
2015-07,18,1.29
2015-07,19,1.22
2015-07,20,1.28
2015-07,21,1.22
2015-07,22,1.16
2015-07,23,1.08
2015-07,24,1.14
2015-07,25,1.12
2015-07,26,1.00
2015-07,27,1.03
2015-07,28,1.06
2015-07,29,0.97
2015-07,30,1.01
2015-07,31,0.96
2015-07,32,0.85
2015-07,33,0.83
2015-07,34,0.87
2015-07,35,0.84
2015-07,36,0.85
2015-07,37,0.87
2015-07,38,0.77
2015-07,39,0.80
2015-07,40,0.77
2015-07,41,0.78
2015-07,42,0.72
2015-07,43,0.70
2015-07,44,0.68
2015-07,45,0.67
2015-07,46,0.64
2015-07,47,0.64
2015-07,48,0.63
2015-07,49,0.60
2015-07,50,0.60
2015-07,51,0.62
2015-07,52,0.54
2015-07,53,0.52
2015-07,54,0.57
2015-07,55,0.58
2015-07,56,0.52
2015-07,57,0.51
2015-07,58,0.53
2015-08,1,22.06
2015-08,2,12.09
2015-08,3,7.01
2015-08,4,4.58
2015-08,5,3.45
2015-08,6,2.87
2015-08,7,2.43
2015-08,8,2.07
2015-08,9,1.74
2015-08,10,1.61
2015-08,11,1.43
2015-08,12,1.35
2015-08,13,1.21
2015-08,14,1.30
2015-08,15,1.06
2015-08,16,1.03
2015-08,17,0.92
2015-08,18,0.93
2015-08,19,0.91
2015-08,20,0.83
2015-08,21,0.78
2015-08,22,0.82
2015-08,23,0.78
2015-08,24,0.74
2015-08,25,0.75
2015-08,26,0.77
2015-08,27,0.75
2015-08,28,0.63
2015-08,29,0.68
2015-08,30,0.59
2015-08,31,0.53
2015-08,32,0.55
2015-08,33,0.55
2015-08,34,0.52
