typ,yyyy_mm,pct_cnt
Android (4.0.3),2015-07,0.23
Android (4.0.3),2015-08,0.18
Android (4.0.3),2015-09,0.14
Android (4.0.3),2015-10,0.17
Android (4.0.4),2015-07,0.69
Android (4.0.4),2015-08,0.64
Android (4.0.4),2015-09,0.49
Android (4.0.4),2015-10,0.54
Android (4.0.8),2015-10,0.00
Android (4.1),2015-07,0.00
Android (4.1.1),2015-07,0.45
Android (4.1.1),2015-08,0.46
Android (4.1.1),2015-09,0.39
Android (4.1.1),2015-10,0.72
Android (4.1.1_jelly_bean),2015-07,0.00
Android (4.1.2),2015-07,3.97
Android (4.1.2),2015-08,3.85
Android (4.1.2),2015-09,2.69
Android (4.1.2),2015-10,3.20
Android (4.2),2015-07,0.00
Android (4.2),2015-09,0.01
Android (4.2.1),2015-07,0.17
Android (4.2.1),2015-08,0.20
Android (4.2.1),2015-09,0.16
Android (4.2.1),2015-10,0.15
Android (4.2.2),2015-07,2.46
Android (4.2.2),2015-08,2.69
Android (4.2.2),2015-09,1.93
Android (4.2.2),2015-10,2.70
Android (4.2.9),2015-07,0.00
Android (4.2.9),2015-08,0.00
Android (4.2.9),2015-10,0.00
Android (4.3),2015-07,3.24
Android (4.3),2015-08,3.10
Android (4.3),2015-09,2.32
Android (4.3),2015-10,2.25
Android (4.3.1),2015-07,0.01
Android (4.3.1),2015-08,0.03
Android (4.3.1),2015-09,0.02
Android (4.3.1),2015-10,0.00
Android (4.3.3),2015-07,0.00
Android (4.3 X26.3 Bader Tirosala),2015-09,0.00
Android (4.4),2015-07,0.09
Android (4.4),2015-08,0.07
Android (4.4),2015-09,0.06
Android (4.4),2015-10,0.05
Android (4.4.0),2015-07,0.00
Android (# 4.4.2),2015-10,0.00
Android (4.4.2),2015-07,22.93
Android (4.4.2),2015-08,19.26
Android (4.4.2),2015-09,15.40
Android (4.4.2),2015-10,15.30
Android (4.4.2_Eyal.H_Cell),2015-07,0.00
Android (4.4.3),2015-07,0.21
Android (4.4.3),2015-08,0.21
Android (4.4.3),2015-09,0.15
Android (4.4.3),2015-10,0.19
Android (4.4.4),2015-07,12.28
Android (4.4.4),2015-08,9.89
Android (4.4.4),2015-09,9.89
Android (4.4.4),2015-10,9.00
Android (4.4.9),2015-07,0.00
Android (5.0),2015-07,18.82
Android (5.0),2015-08,18.56
Android (5.0),2015-09,18.42
Android (5.0),2015-10,16.80
Android (5.0.1),2015-07,16.48
Android (5.0.1),2015-08,16.18
Android (5.0.1),2015-09,15.49
Android (5.0.1),2015-10,13.05
Android (5.0.2),2015-07,11.77
Android (5.0.2),2015-08,11.84
Android (5.0.2),2015-09,8.94
Android (5.0.2),2015-10,8.49
Android (5.1),2015-07,2.01
Android (5.1),2015-08,4.18
Android (5.1),2015-09,6.22
Android (5.1),2015-10,6.89
Android (5.1.1),2015-07,4.14
Android (5.1.1),2015-08,8.62
Android (5.1.1),2015-09,17.09
Android (5.1.1),2015-10,18.95
Android (6.0),2015-07,0.00
Android (6.0),2015-08,0.01
Android (6.0),2015-09,0.20
Android (6.0),2015-10,1.53
Android (M),2015-07,0.01
Android (M),2015-08,0.03
Android (Touchwiz Revolution V11),2015-10,0.00
Android (V4.0),2015-07,0.00
