typ,yyyy_mm,pct_cnt
iPad (6.0),2015-07,0.00
iPad (6.0.1),2015-07,0.00
iPad (6.0.1),2015-08,0.00
iPad (6.0.1),2015-09,0.00
iPad (6.0.1),2015-10,0.00
iPad (6.0.2),2015-08,0.00
iPad (6.1),2015-07,0.00
iPad (6.1),2015-09,0.00
iPad (6.1.2),2015-07,0.00
iPad (6.1.2),2015-09,0.00
iPad (6.1.2),2015-10,0.00
iPad (6.1.3),2015-07,0.01
iPad (6.1.3),2015-08,0.01
iPad (6.1.3),2015-09,0.01
iPad (6.1.3),2015-10,0.00
iPad (7.0),2015-07,0.02
iPad (7.0),2015-08,0.01
iPad (7.0),2015-09,0.01
iPad (7.0),2015-10,0.01
iPad (7.0.2),2015-07,0.02
iPad (7.0.2),2015-08,0.03
iPad (7.0.2),2015-09,0.01
iPad (7.0.2),2015-10,0.01
iPad (7.0.3),2015-07,0.03
iPad (7.0.3),2015-08,0.04
iPad (7.0.3),2015-09,0.02
iPad (7.0.3),2015-10,0.02
iPad (7.0.4),2015-07,0.16
iPad (7.0.4),2015-08,0.15
iPad (7.0.4),2015-09,0.11
iPad (7.0.4),2015-10,0.10
iPad (7.0.6),2015-07,0.05
iPad (7.0.6),2015-08,0.05
iPad (7.0.6),2015-09,0.04
iPad (7.0.6),2015-10,0.04
iPad (7.1),2015-07,0.15
iPad (7.1),2015-08,0.17
iPad (7.1),2015-09,0.10
iPad (7.1),2015-10,0.10
iPad (7.1.1),2015-07,0.26
iPad (7.1.1),2015-08,0.28
iPad (7.1.1),2015-09,0.18
iPad (7.1.1),2015-10,0.18
iPad (7.1.2),2015-07,0.59
iPad (7.1.2),2015-08,0.44
iPad (7.1.2),2015-09,0.35
iPad (7.1.2),2015-10,0.33
iPad (8.0),2015-07,0.06
iPad (8.0),2015-08,0.06
iPad (8.0),2015-09,0.05
iPad (8.0),2015-10,0.03
iPad (8.0.2),2015-07,0.11
iPad (8.0.2),2015-08,0.08
iPad (8.0.2),2015-09,0.08
iPad (8.0.2),2015-10,0.09
iPad (8.1),2015-07,0.22
iPad (8.1),2015-08,0.25
iPad (8.1),2015-09,0.52
iPad (8.1),2015-10,0.19
iPad (8.1.1),2015-07,0.27
iPad (8.1.1),2015-08,0.16
iPad (8.1.1),2015-09,0.09
iPad (8.1.1),2015-10,0.10
iPad (8.1.2),2015-07,0.40
iPad (8.1.2),2015-08,0.33
iPad (8.1.2),2015-09,0.25
iPad (8.1.2),2015-10,0.22
iPad (8.1.3),2015-07,0.54
iPad (8.1.3),2015-08,0.39
iPad (8.1.3),2015-09,0.26
iPad (8.1.3),2015-10,0.23
iPad (8.2),2015-07,0.45
iPad (8.2),2015-08,0.38
iPad (8.2),2015-09,0.26
iPad (8.2),2015-10,0.28
iPad (8.3),2015-07,3.76
iPad (8.3),2015-08,1.68
iPad (8.3),2015-09,1.08
iPad (8.3),2015-10,1.11
iPad (8.4),2015-07,3.45
iPad (8.4),2015-08,3.87
iPad (8.4),2015-09,1.11
iPad (8.4),2015-10,0.87
iPad (8.4.1),2015-07,0.07
iPad (8.4.1),2015-08,1.55
iPad (8.4.1),2015-09,3.10
iPad (8.4.1),2015-10,1.35
iPad (9.0),2015-07,0.03
iPad (9.0),2015-08,0.07
iPad (9.0),2015-09,1.14
iPad (9.0),2015-10,0.36
iPad (9.0.1),2015-07,0.02
iPad (9.0.1),2015-08,0.02
iPad (9.0.1),2015-09,0.82
iPad (9.0.1),2015-10,0.84
iPad (9.0.2),2015-07,0.03
iPad (9.0.2),2015-08,0.04
iPad (9.0.2),2015-09,0.08
iPad (9.0.2),2015-10,3.43
iPad (9.1),2015-07,0.00
iPad (9.1),2015-08,0.00
iPad (9.1),2015-09,0.04
iPad (9.1),2015-10,0.16
iPhone (6.0),2015-07,0.00
iPhone (6.0),2015-08,0.00
iPhone (6.0),2015-09,0.00
iPhone (6.0.1),2015-07,0.01
iPhone (6.0.1),2015-08,0.01
iPhone (6.0.1),2015-09,0.01
iPhone (6.0.1),2015-10,0.00
iPhone (6.0.2),2015-07,0.00
iPhone (6.0.2),2015-08,0.00
iPhone (6.1),2015-07,0.01
iPhone (6.1),2015-08,0.00
iPhone (6.1),2015-09,0.00
iPhone (6.1),2015-10,0.00
iPhone (6.1.1),2015-09,0.00
iPhone (6.1.2),2015-07,0.01
iPhone (6.1.2),2015-08,0.01
iPhone (6.1.2),2015-09,0.00
iPhone (6.1.2),2015-10,0.00
iPhone (6.1.3),2015-07,0.04
iPhone (6.1.3),2015-08,0.03
iPhone (6.1.3),2015-09,0.02
iPhone (6.1.3),2015-10,0.01
iPhone (6.1.4),2015-07,0.02
iPhone (6.1.4),2015-08,0.02
iPhone (6.1.4),2015-09,0.01
iPhone (6.1.4),2015-10,0.01
iPhone (6.1.6),2015-07,0.02
iPhone (6.1.6),2015-08,0.02
iPhone (6.1.6),2015-09,0.02
iPhone (6.1.6),2015-10,0.01
iPhone (7.0),2015-07,0.15
iPhone (7.0),2015-08,0.13
iPhone (7.0),2015-09,0.08
iPhone (7.0),2015-10,0.07
iPhone (7.0.1),2015-07,0.01
iPhone (7.0.1),2015-08,0.01
iPhone (7.0.1),2015-09,0.00
iPhone (7.0.1),2015-10,0.01
iPhone (7.0.2),2015-07,0.18
iPhone (7.0.2),2015-08,0.12
iPhone (7.0.2),2015-09,0.09
iPhone (7.0.2),2015-10,0.09
iPhone (7.0.3),2015-07,0.19
iPhone (7.0.3),2015-08,0.16
iPhone (7.0.3),2015-09,0.11
iPhone (7.0.3),2015-10,0.12
iPhone (7.0.4),2015-07,0.80
iPhone (7.0.4),2015-08,0.62
iPhone (7.0.4),2015-09,0.48
iPhone (7.0.4),2015-10,0.43
iPhone (7.0.5),2015-07,0.02
iPhone (7.0.5),2015-08,0.02
iPhone (7.0.5),2015-09,0.02
iPhone (7.0.5),2015-10,0.01
iPhone (7.0.6),2015-07,0.38
iPhone (7.0.6),2015-08,0.30
iPhone (7.0.6),2015-09,0.28
iPhone (7.0.6),2015-10,0.22
iPhone (7.1),2015-07,0.81
iPhone (7.1),2015-08,0.63
iPhone (7.1),2015-09,0.48
iPhone (7.1),2015-10,0.48
iPhone (7.1.1),2015-07,1.75
iPhone (7.1.1),2015-08,1.31
iPhone (7.1.1),2015-09,1.05
iPhone (7.1.1),2015-10,0.93
iPhone (7.1.2),2015-07,4.53
iPhone (7.1.2),2015-08,3.54
iPhone (7.1.2),2015-09,2.75
iPhone (7.1.2),2015-10,2.37
iPhone (8.0),2015-07,0.47
iPhone (8.0),2015-08,0.38
iPhone (8.0),2015-09,0.31
iPhone (8.0),2015-10,0.33
iPhone (8.0.1),2015-07,0.00
iPhone (8.0.1),2015-09,0.00
iPhone (8.0.2),2015-07,0.88
iPhone (8.0.2),2015-08,0.74
iPhone (8.0.2),2015-09,0.54
iPhone (8.0.2),2015-10,0.46
iPhone (8.1),2015-07,1.54
iPhone (8.1),2015-08,1.32
iPhone (8.1),2015-09,0.99
iPhone (8.1),2015-10,0.96
iPhone (8.1.1),2015-07,1.24
iPhone (8.1.1),2015-08,1.06
iPhone (8.1.1),2015-09,0.80
iPhone (8.1.1),2015-10,0.70
iPhone (8.1.2),2015-07,3.02
iPhone (8.1.2),2015-08,2.56
iPhone (8.1.2),2015-09,1.92
iPhone (8.1.2),2015-10,1.79
iPhone (8.1.3),2015-07,3.33
iPhone (8.1.3),2015-08,2.60
iPhone (8.1.3),2015-09,1.95
iPhone (8.1.3),2015-10,1.73
iPhone (8.2),2015-07,3.48
iPhone (8.2),2015-08,2.62
iPhone (8.2),2015-09,2.00
iPhone (8.2),2015-10,1.65
iPhone (8.3),2015-07,30.86
iPhone (8.3),2015-08,15.13
iPhone (8.3),2015-09,10.10
iPhone (8.3),2015-10,7.36
iPhone (8.4),2015-07,34.20
iPhone (8.4),2015-08,39.06
iPhone (8.4),2015-09,10.59
iPhone (8.4),2015-10,6.48
iPhone (8.4.1),2015-07,0.66
iPhone (8.4.1),2015-08,16.25
iPhone (8.4.1),2015-09,31.71
iPhone (8.4.1),2015-10,9.18
iPhone (9.0),2015-07,0.31
iPhone (9.0),2015-08,0.81
iPhone (9.0),2015-09,12.19
iPhone (9.0),2015-10,2.39
iPhone (9.0.1),2015-07,0.12
iPhone (9.0.1),2015-08,0.16
iPhone (9.0.1),2015-09,10.51
iPhone (9.0.1),2015-10,7.45
iPhone (9.0.2),2015-07,0.23
iPhone (9.0.2),2015-08,0.31
iPhone (9.0.2),2015-09,0.78
iPhone (9.0.2),2015-10,42.54
iPhone (9.1),2015-07,0.03
iPhone (9.1),2015-08,0.04
iPhone (9.1),2015-09,0.50
iPhone (9.1),2015-10,2.11
iPhone (9.1.1),2015-10,0.00
iPhone (9.2),2015-10,0.00
