typ,yyyy_mm,pct_cnt
iPhone (6.0),2015-07,0.00
iPhone (6.0),2015-08,0.00
iPhone (6.0),2015-09,0.00
iPhone (6.0.1),2015-07,0.01
iPhone (6.0.1),2015-08,0.01
iPhone (6.0.1),2015-09,0.01
iPhone (6.0.1),2015-10,0.00
iPhone (6.0.2),2015-07,0.00
iPhone (6.0.2),2015-08,0.00
iPhone (6.1),2015-07,0.01
iPhone (6.1),2015-08,0.00
iPhone (6.1),2015-09,0.00
iPhone (6.1),2015-10,0.00
iPhone (6.1.1),2015-09,0.00
iPhone (6.1.2),2015-07,0.01
iPhone (6.1.2),2015-08,0.01
iPhone (6.1.2),2015-09,0.00
iPhone (6.1.2),2015-10,0.00
iPhone (6.1.3),2015-07,0.04
iPhone (6.1.3),2015-08,0.03
iPhone (6.1.3),2015-09,0.02
iPhone (6.1.3),2015-10,0.02
iPhone (6.1.4),2015-07,0.02
iPhone (6.1.4),2015-08,0.02
iPhone (6.1.4),2015-09,0.01
iPhone (6.1.4),2015-10,0.01
iPhone (6.1.6),2015-07,0.02
iPhone (6.1.6),2015-08,0.02
iPhone (6.1.6),2015-09,0.02
iPhone (6.1.6),2015-10,0.01
iPhone (7.0),2015-07,0.17
iPhone (7.0),2015-08,0.14
iPhone (7.0),2015-09,0.09
iPhone (7.0),2015-10,0.08
iPhone (7.0.1),2015-07,0.01
iPhone (7.0.1),2015-08,0.01
iPhone (7.0.1),2015-09,0.00
iPhone (7.0.1),2015-10,0.01
iPhone (7.0.2),2015-07,0.20
iPhone (7.0.2),2015-08,0.14
iPhone (7.0.2),2015-09,0.10
iPhone (7.0.2),2015-10,0.10
iPhone (7.0.3),2015-07,0.21
iPhone (7.0.3),2015-08,0.18
iPhone (7.0.3),2015-09,0.12
iPhone (7.0.3),2015-10,0.14
iPhone (7.0.4),2015-07,0.90
iPhone (7.0.4),2015-08,0.69
iPhone (7.0.4),2015-09,0.53
iPhone (7.0.4),2015-10,0.48
iPhone (7.0.5),2015-07,0.02
iPhone (7.0.5),2015-08,0.02
iPhone (7.0.5),2015-09,0.02
iPhone (7.0.5),2015-10,0.01
iPhone (7.0.6),2015-07,0.42
iPhone (7.0.6),2015-08,0.33
iPhone (7.0.6),2015-09,0.31
iPhone (7.0.6),2015-10,0.25
iPhone (7.1),2015-07,0.91
iPhone (7.1),2015-08,0.70
iPhone (7.1),2015-09,0.54
iPhone (7.1),2015-10,0.54
iPhone (7.1.1),2015-07,1.96
iPhone (7.1.1),2015-08,1.46
iPhone (7.1.1),2015-09,1.17
iPhone (7.1.1),2015-10,1.04
iPhone (7.1.2),2015-07,5.07
iPhone (7.1.2),2015-08,3.94
iPhone (7.1.2),2015-09,3.05
iPhone (7.1.2),2015-10,2.64
iPhone (8.0),2015-07,0.52
iPhone (8.0),2015-08,0.42
iPhone (8.0),2015-09,0.34
iPhone (8.0),2015-10,0.36
iPhone (8.0.1),2015-07,0.00
iPhone (8.0.1),2015-09,0.00
iPhone (8.0.2),2015-07,0.98
iPhone (8.0.2),2015-08,0.82
iPhone (8.0.2),2015-09,0.60
iPhone (8.0.2),2015-10,0.51
iPhone (8.1),2015-07,1.73
iPhone (8.1),2015-08,1.47
iPhone (8.1),2015-09,1.09
iPhone (8.1),2015-10,1.07
iPhone (8.1.1),2015-07,1.39
iPhone (8.1.1),2015-08,1.17
iPhone (8.1.1),2015-09,0.89
iPhone (8.1.1),2015-10,0.77
iPhone (8.1.2),2015-07,3.38
iPhone (8.1.2),2015-08,2.84
iPhone (8.1.2),2015-09,2.13
iPhone (8.1.2),2015-10,1.99
iPhone (8.1.3),2015-07,3.73
iPhone (8.1.3),2015-08,2.89
iPhone (8.1.3),2015-09,2.16
iPhone (8.1.3),2015-10,1.92
iPhone (8.2),2015-07,3.90
iPhone (8.2),2015-08,2.91
iPhone (8.2),2015-09,2.22
iPhone (8.2),2015-10,1.83
iPhone (8.3),2015-07,34.57
iPhone (8.3),2015-08,16.83
iPhone (8.3),2015-09,11.19
iPhone (8.3),2015-10,8.19
iPhone (8.4),2015-07,38.31
iPhone (8.4),2015-08,43.43
iPhone (8.4),2015-09,11.73
iPhone (8.4),2015-10,7.21
iPhone (8.4.1),2015-07,0.74
iPhone (8.4.1),2015-08,18.07
iPhone (8.4.1),2015-09,35.12
iPhone (8.4.1),2015-10,10.21
iPhone (9.0),2015-07,0.35
iPhone (9.0),2015-08,0.90
iPhone (9.0),2015-09,13.50
iPhone (9.0),2015-10,2.66
iPhone (9.0.1),2015-07,0.14
iPhone (9.0.1),2015-08,0.18
iPhone (9.0.1),2015-09,11.64
iPhone (9.0.1),2015-10,8.29
iPhone (9.0.2),2015-07,0.25
iPhone (9.0.2),2015-08,0.34
iPhone (9.0.2),2015-09,0.86
iPhone (9.0.2),2015-10,47.32
iPhone (9.1),2015-07,0.03
iPhone (9.1),2015-08,0.04
iPhone (9.1),2015-09,0.55
iPhone (9.1),2015-10,2.34
iPhone (9.1.1),2015-10,0.00
iPhone (9.2),2015-10,0.00
