typ,yyyy_mm,pct_cnt
Android,2014-07,29.65
Android,2014-08,30.91
Android,2014-09,29.18
Android,2014-10,32.93
Android,2014-11,35.15
Android,2014-12,35.91
Android,2015-01,29.42
Android,2015-02,27.42
Android,2015-03,26.55
Android,2015-04,23.80
Android,2015-05,29.06
Android,2015-06,39.35
HTML5,2014-07,0.45
HTML5,2014-08,0.72
HTML5,2014-09,0.75
HTML5,2014-10,0.36
HTML5,2014-11,0.37
HTML5,2014-12,0.70
HTML5,2015-01,0.37
HTML5,2015-02,0.36
HTML5,2015-03,0.41
HTML5,2015-04,0.19
HTML5,2015-05,0.10
HTML5,2015-06,0.08
iPad,2014-07,6.97
iPad,2014-08,8.68
iPad,2014-09,9.96
iPad,2014-10,7.63
iPad,2014-11,8.15
iPad,2014-12,8.97
iPad,2015-01,6.66
iPad,2015-02,7.55
iPad,2015-03,6.56
iPad,2015-04,7.64
iPad,2015-05,6.21
iPad,2015-06,4.91
iPhone,2014-07,62.93
iPhone,2014-08,59.70
iPhone,2014-09,60.12
iPhone,2014-10,59.07
iPhone,2014-11,56.33
iPhone,2014-12,54.42
iPhone,2015-01,63.55
iPhone,2015-02,64.67
iPhone,2015-03,66.48
iPhone,2015-04,68.37
iPhone,2015-05,64.63
iPhone,2015-06,55.65
