typ,yyyy_mm,pct_cnt
Android,2014-07,23.05
Android,2014-08,23.39
Android,2014-09,22.31
Android,2014-10,29.68
Android,2014-11,27.81
Android,2014-12,25.05
Android,2015-01,29.75
Android,2015-02,27.59
Android,2015-03,25.68
Android,2015-04,24.49
Android,2015-05,27.09
Android,2015-06,24.88
HTML5,2014-07,1.70
HTML5,2014-08,3.19
HTML5,2014-09,4.08
HTML5,2014-10,2.36
HTML5,2014-11,3.92
HTML5,2014-12,9.84
HTML5,2015-01,2.44
HTML5,2015-02,2.90
HTML5,2015-03,2.89
HTML5,2015-04,2.40
HTML5,2015-05,2.21
HTML5,2015-06,2.46
iPad,2014-07,12.44
iPad,2014-08,14.21
iPad,2014-09,12.93
iPad,2014-10,10.82
iPad,2014-11,10.78
iPad,2014-12,10.91
iPad,2015-01,10.60
iPad,2015-02,9.69
iPad,2015-03,9.18
iPad,2015-04,9.53
iPad,2015-05,8.00
iPad,2015-06,7.94
iPhone,2014-07,62.81
iPhone,2014-08,59.22
iPhone,2014-09,60.67
iPhone,2014-10,57.14
iPhone,2014-11,57.49
iPhone,2014-12,54.20
iPhone,2015-01,57.21
iPhone,2015-02,59.81
iPhone,2015-03,62.24
iPhone,2015-04,63.58
iPhone,2015-05,62.70
iPhone,2015-06,64.71
