menuitem,yyyy_mm,pct_menuitemtaps
Activity Feed,2015-03,18.03
Activity Feed,2015-04,16.23
Activity Feed,2015-05,19.35
Activity Feed,2015-06,18.66
Activity Feed,2015-07,17.37
Activity Feed,2015-08,15.54
Activity Feed,2015-09,13.01
Activity Feed,2015-10,11.63
Agenda,2015-03,34.52
Agenda,2015-04,33.88
Agenda,2015-05,29.11
Agenda,2015-06,27.80
Agenda,2015-07,25.52
Agenda,2015-08,24.74
Agenda,2015-09,23.47
Agenda,2015-10,8.46
Attendees,2015-03,7.30
Attendees,2015-04,7.48
Attendees,2015-05,6.39
Attendees,2015-06,6.51
Attendees,2015-07,5.88
Attendees,2015-08,4.57
Attendees,2015-09,6.11
Attendees,2015-10,6.07
Bookmarks,2015-03,3.88
Bookmarks,2015-04,4.44
Bookmarks,2015-05,3.43
Bookmarks,2015-06,2.76
Bookmarks,2015-07,3.13
Bookmarks,2015-08,1.38
Bookmarks,2015-09,2.00
Bookmarks,2015-10,1.67
Exhibitors,2015-03,3.29
Exhibitors,2015-04,5.01
Exhibitors,2015-05,4.47
Exhibitors,2015-06,3.39
Exhibitors,2015-07,2.80
Exhibitors,2015-08,2.46
Exhibitors,2015-09,3.91
Exhibitors,2015-10,5.60
Folder,2015-03,3.26
Folder,2015-04,4.10
Folder,2015-05,3.11
Folder,2015-06,9.78
Folder,2015-07,3.22
Folder,2015-08,2.09
Folder,2015-09,1.79
Folder,2015-10,0.88
Interactive Map,2015-03,1.97
Interactive Map,2015-04,2.91
Interactive Map,2015-05,2.65
Interactive Map,2015-06,2.26
Interactive Map,2015-07,1.93
Interactive Map,2015-08,2.82
Interactive Map,2015-09,2.13
Interactive Map,2015-10,3.03
Item Detail,2015-03,2.09
Item Detail,2015-04,2.12
Item Detail,2015-05,3.83
Item Detail,2015-06,2.37
Item Detail,2015-07,3.85
Item Detail,2015-08,2.65
Item Detail,2015-09,3.20
Item Detail,2015-10,3.75
Leaderboard,2015-03,5.77
Leaderboard,2015-04,5.19
Leaderboard,2015-05,6.19
Leaderboard,2015-06,6.06
Leaderboard,2015-07,3.92
Leaderboard,2015-08,4.93
Leaderboard,2015-09,4.67
Leaderboard,2015-10,7.77
Leads,2015-03,0
Leads,2015-04,0.53
Leads,2015-05,0
Leads,2015-06,0
Leads,2015-07,0
Leads,2015-08,0
Leads,2015-09,0
Leads,2015-10,0
List (Misc),2015-03,2.39
List (Misc),2015-04,3.06
List (Misc),2015-05,2.83
List (Misc),2015-06,2.30
List (Misc),2015-07,2.37
List (Misc),2015-08,2.64
List (Misc),2015-09,3.32
List (Misc),2015-10,7.22
List (Unknown),2015-03,0
List (Unknown),2015-04,0
List (Unknown),2015-05,0
List (Unknown),2015-06,0
List (Unknown),2015-07,0.64
List (Unknown),2015-08,1.48
List (Unknown),2015-09,1.89
List (Unknown),2015-10,4.81
(N/A),2015-03,0
(N/A),2015-04,0
(N/A),2015-05,0
(N/A),2015-06,0
(N/A),2015-07,11.58
(N/A),2015-08,19.39
(N/A),2015-09,21.01
(N/A),2015-10,19.44
Photofeed,2015-03,2.20
Photofeed,2015-04,2.16
Photofeed,2015-05,2.05
Photofeed,2015-06,2.02
Photofeed,2015-07,2.09
Photofeed,2015-08,1.98
Photofeed,2015-09,1.75
Photofeed,2015-10,3.90
Polls,2015-03,0.94
Polls,2015-04,0.67
Polls,2015-05,0.72
Polls,2015-06,1.00
Polls,2015-07,1.09
Polls,2015-08,0.51
Polls,2015-09,0.71
Polls,2015-10,0.92
Profile,2015-03,0
Profile,2015-04,0
Profile,2015-05,0
Profile,2015-06,0
Profile,2015-07,0
Profile,2015-08,0
Profile,2015-09,0
Profile,2015-10,1.29
QR Code Scanner,2015-03,0
QR Code Scanner,2015-04,0.50
QR Code Scanner,2015-05,0.59
QR Code Scanner,2015-06,0.92
QR Code Scanner,2015-07,1.61
QR Code Scanner,2015-08,1.54
QR Code Scanner,2015-09,0.82
QR Code Scanner,2015-10,0.64
Search,2015-03,1.03
Search,2015-04,1.26
Search,2015-05,1.15
Search,2015-06,0.95
Search,2015-07,1.08
Search,2015-08,0.85
Search,2015-09,0.70
Search,2015-10,1.01
Speakers,2015-03,4.42
Speakers,2015-04,4.05
Speakers,2015-05,5.30
Speakers,2015-06,3.72
Speakers,2015-07,2.72
Speakers,2015-08,3.22
Speakers,2015-09,3.15
Speakers,2015-10,2.67
Surveys,2015-03,1.56
Surveys,2015-04,1.14
Surveys,2015-05,1.46
Surveys,2015-06,1.18
Surveys,2015-07,1.17
Surveys,2015-08,0.74
Surveys,2015-09,1.03
Surveys,2015-10,2.05
Switch Event,2015-03,1.40
Switch Event,2015-04,1.39
Switch Event,2015-05,1.43
Switch Event,2015-06,1.37
Switch Event,2015-07,1.08
Switch Event,2015-08,0.96
Switch Event,2015-09,0.99
Switch Event,2015-10,1.82
Web URL,2015-03,4.64
Web URL,2015-04,3.30
Web URL,2015-05,5.17
Web URL,2015-06,6.19
Web URL,2015-07,6.15
Web URL,2015-08,5.07
Web URL,2015-09,3.03
Web URL,2015-10,4.52
