applicationid,Event,Total Menu Taps,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
1A9566D3-B868-4F14-A005-5996588A7EBE,11th Annual Customer Contact 2015 West,8163,Agenda - 3383 (41.4%),Activity Feed - 2593 (31.8%),Attendees - 600 (7.4%),Other - 340 (4.2%),Speakers - 330 (4.0%),Item (Hotel & Travel ) - 163 (2.0%),Folder (Get Social ) - 163 (2.0%),Map - 143 (1.8%),Exhibitors - 140 (1.7%),Photofeed - 136 (1.7%)
B3261D6B-8A8C-4FFD-8F0E-C88F40A1C03D,19th Digital Dealer Conference & Exposition,95,Agenda - 19 (20.0%),Exhibitors - 17 (17.9%),Activity Feed - 15 (15.8%),Photofeed - 10 (10.5%),Map - 10 (10.5%),Speakers - 9 (9.5%),Attendees - 7 (7.4%),Leaderboard - 3 (3.2%),Surveys - 2 (2.1%),Other - 2 (2.1%)
40EC42F0-516D-4D2B-95C4-A05AF4E73A23,2015 1WorldSync Annual User Group Europe/ECR Tag,5575,Activity Feed - 1508 (27.0%),Other - 1029 (18.5%),Agenda - 946 (17.0%),Leaderboard - 469 (8.4%),Attendees - 456 (8.2%),Speakers - 261 (4.7%),Item (Main Sponsor) - 202 (3.6%),Surveys - 166 (3.0%),Photofeed - 145 (2.6%),Exhibitors - 107 (1.9%)
C65A2CB8-F4D1-45F8-A0A4-6A94DF1950FC,2015 ACTEC Fall Meeting,9504,Agenda - 3033 (31.9%),Activity Feed - 1497 (15.8%),Attendees - 1177 (12.4%),Folder (Committee) - 914 (9.6%),Other - 871 (9.2%),Folder (Seminar Materials) - 670 (7.0%),Leaderboard - 315 (3.3%),Map - 274 (2.9%),Photofeed - 192 (2.0%),Item (2016 Annual Meeting) - 190 (2.0%)
341E89BE-4A45-4EE6-959C-7A299385BBE2,2015 AD North American Meeting - Industrial,9154,Agenda - 4285 (46.8%),Activity Feed - 2348 (25.6%),Attendees - 764 (8.3%),Other - 440 (4.8%),Folder (Strategic Partner Briefings) - 304 (3.3%),Folder (Booth Guide) - 257 (2.8%),Item (Save the Dates) - 216 (2.4%),Folder (Hotel Map) - 184 (2.0%),Item (How to Use Activity Feed) - 146 (1.6%),Folder (Local Restuarants) - 80 (0.9%)
BD70E5C8-CAB3-4934-803E-5609DE2EE026,2015 ae3 Energy Conference,6926,Agenda - 2373 (34.3%),Activity Feed - 1656 (23.9%),Attendees - 685 (9.9%),Leaderboard - 570 (8.2%),Other - 379 (5.5%),Surveys - 338 (4.9%),Exhibitors - 280 (4.0%),Speakers - 222 (3.2%),Map - 159 (2.3%),Photofeed - 144 (2.1%)
E5B72E78-EBB3-47EF-8B7D-FC8509B73D46,2015 AHP Annual International Conference,16007,Agenda - 7523 (47.0%),Activity Feed - 3072 (19.2%),Attendees - 1257 (7.9%),Leaderboard - 1132 (7.1%),Exhibitors - 810 (5.1%),Speakers - 746 (4.7%),Other - 634 (4.0%),Photofeed - 406 (2.5%),Map - 331 (2.1%),Switch Event - 72 (0.4%)
F970552C-7EAB-476D-A5A1-91F1C6088988,2015 AHVAP Education Conference ,2552,Agenda - 697 (27.3%),Activity Feed - 601 (23.6%),Leaderboard - 269 (10.5%),Folder (Presentations) - 207 (8.1%),Attendees - 201 (7.9%),Speakers - 168 (6.6%),Exhibitors - 118 (4.6%),Photofeed - 99 (3.9%),Map - 86 (3.4%),Switch Event - 61 (2.4%)
684707BE-4C4A-46D0-9360-29BC49D9E7B9,2015 AIS Conference,2889,Agenda - 931 (32.2%),Activity Feed - 585 (20.2%),Speakers - 342 (11.8%),Attendees - 249 (8.6%),Leaderboard - 151 (5.2%),Map - 149 (5.2%),Other - 138 (4.8%),Item (On Campus Dining) - 115 (4.0%),Folder (Presentation Slides) - 67 (2.3%),Photofeed - 62 (2.1%)
F7CC2C0D-3190-415C-B1AE-6B37156FED83,2015 Alternate Channels Incentive,4194,Other - 1459 (34.8%),Activity Feed - 1079 (25.7%),Leaderboard - 356 (8.5%),Exhibitors - 316 (7.5%),Folder (AC Library) - 217 (5.2%),Item (Specialty Imaging) - 211 (5.0%),Item (Attire) - 208 (5.0%),Item (St. Regis Monarch Beach) - 155 (3.7%),Item (Travel HQ Contacts) - 91 (2.2%),Switch Event - 66 (1.6%)
