kpi,yyyy_mm,pct_users
% (Conversion Rate),2015-07,31.74
% (Conversion Rate),2015-08,26.23
% (Conversion Rate),2015-09,30.75
% (Conversion Rate),2015-10,29.59
% (Conversion Rate),2015-11,32.22
% of Active Users tapped Satisfaction Card,2015-07,8.40
% of Active Users tapped Satisfaction Card,2015-08,9.10
% of Active Users tapped Satisfaction Card,2015-09,15.82
% of Active Users tapped Satisfaction Card,2015-10,16.73
% of Active Users tapped Satisfaction Card,2015-11,10.47
% of Active Users viewed Satisfaction Card,2015-07,26.47
% of Active Users viewed Satisfaction Card,2015-08,34.68
% of Active Users viewed Satisfaction Card,2015-09,51.43
% of Active Users viewed Satisfaction Card,2015-10,56.54
% of Active Users viewed Satisfaction Card,2015-11,32.49
