kpi,yyyy_mm,pct_users
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-01,15.51
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-02,21.14
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-03,19.70
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-04,26.69
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-05,21.37
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-06,26.35
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-07,4.79
% of Active Users with 1+ Exhibitor Detail View (Events with Exhibitors),2015-08,12.80
% of Active Users with 1+ Profile Views (not self),2015-01,5.52
% of Active Users with 1+ Profile Views (not self),2015-02,0.93
% of Active Users with 1+ Profile Views (not self),2015-03,25.45
% of Active Users with 1+ Profile Views (not self),2015-04,44.24
% of Active Users with 1+ Profile Views (not self),2015-05,43.86
% of Active Users with 1+ Profile Views (not self),2015-06,53.90
% of Active Users with 1+ Profile Views (not self),2015-07,6.12
% of Active Users with 1+ Profile Views (not self),2015-08,22.16
% of Active Users with 1+ Self-Profile Views,2015-01,4.88
% of Active Users with 1+ Self-Profile Views,2015-02,1.33
% of Active Users with 1+ Self-Profile Views,2015-03,27.83
% of Active Users with 1+ Self-Profile Views,2015-04,47.70
% of Active Users with 1+ Self-Profile Views,2015-05,48.64
% of Active Users with 1+ Self-Profile Views,2015-06,55.66
% of Active Users with 1+ Self-Profile Views,2015-07,8.07
% of Active Users with 1+ Self-Profile Views,2015-08,24.04
% of Active Users with 1+ Status Updates,2015-01,23.63
% of Active Users with 1+ Status Updates,2015-02,21.76
% of Active Users with 1+ Status Updates,2015-03,20.20
% of Active Users with 1+ Status Updates,2015-04,17.46
% of Active Users with 1+ Status Updates,2015-05,18.83
% of Active Users with 1+ Status Updates,2015-06,21.02
% of Active Users with 1+ Status Updates,2015-07,15.11
% of Active Users with 1+ Status Updates,2015-08,25.17
