Week Of,Application ID,Event Name,Event Start Date,Event End Date,Event Type,Event Reg Type,Active Users
2016-01-01,B3261D6B-8A8C-4FFD-8F0E-C88F40A1C03D,19th Digital Dealer Conference & Exposition,2016-01-01,2016-01-01,Expo (<2:1 session:exhibitor ratio),Open Reg Event,24
2016-01-01,754C8A4B-00C6-4FA2-8779-C7C1420C4706,2016 National Sales Meeting,2016-01-03,2016-01-10,Corporate Internal,Closed Reg Event,750
2016-01-01,160F5BF6-7E95-4442-B0CA-3A955DC6832E,Diversity & Inclusion,2016-01-01,2016-01-01,Corporate Internal,Closed Reg Event,49
2016-01-01,D18B5954-1116-46B9-BA77-2760EF7C1015,Oncology Managers Meeting 2016-01,2016-01-03,2016-01-08,Corporate Internal,Closed Reg Event,94
2016-01-04,70D39F42-0323-4FBD-9B07-46327D348828,2016 AmWINS Sales and Leadership Conference,2016-01-10,2016-01-12,Corporate Internal,Closed Reg Event,552
2016-01-04,4F300096-DC9D-48C8-8894-7F8F231D99B1,2016 NASCAR Summit,2016-01-10,2016-01-13,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,482
2016-01-04,BB1174E3-64EA-4DD6-B7BD-56F5B0EB9B7C,2016 SE Regional Fruit & Vegetable Conference,2016-01-07,2016-01-10,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,465
2016-01-04,F339BD76-368C-476B-AD3E-1EEFA50BF823,Accelerate 2016,2016-01-10,2016-01-14,Corporate Internal,Closed Reg Event,1231
2016-01-04,361AC0DB-FC7F-4D09-BB8D-39A74C326005,FleetPride 2016 Kickoff Meeting,2016-01-06,2016-01-10,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,628
2016-01-04,1725CB89-CCC7-4071-A089-3B8C82BC8BB6,Full Throttle 1/8/16,2016-01-08,2016-01-08,Corporate Internal,Closed Reg Event,537
2016-01-04,E7536221-B17D-455D-AD73-DAF89E69BFD3,GE Healthcare Imaging Leadership Meeting,2016-01-09,2016-01-09,Corporate Internal,Closed Reg Event,163
2016-01-04,A49C27C5-FDBC-43EC-90CC-E09A01F80500,GE Power Leadership Meeting,2016-01-06,2016-01-08,Corporate Internal,Closed Reg Event,138
2016-01-04,75129F1A-ACD0-4D5C-8CCD-877EF577269F,Global Sales and Marketing,2016-01-10,2016-01-15,Corporate Internal,Closed Reg Event,349
2016-01-04,8D9945B7-0573-4081-9C54-21C4ECAD74B9,IDEAS Connected 2016,2016-01-10,2016-01-15,Corporate External,Closed Reg Event,971
2016-01-04,32CD7D04-001B-4846-8D5A-9BB7B1D62AD7,iShares 2016 Institutional Sales Conference,2016-01-06,2016-01-07,Corporate Internal,Closed Reg Event,148
2016-01-04,5613BEFB-1442-480C-95A6-12BA23E0C711,JJ CES,2016-01-06,2016-01-09,Expo (<2:1 session:exhibitor ratio),Closed Reg Event,48
2016-01-04,4E6E92B0-732D-475B-83E8-91F9F9DC7594,Jump Start 1/4/16,2016-01-04,2016-01-04,Corporate Internal,Closed Reg Event,50
2016-01-04,73F42CB6-5FD1-4115-A647-E10AC8ACF0BF,KronosLM-DC15,2016-01-04,2016-01-10,Corporate Internal,Closed Reg Event,253
2016-01-04,91C3E987-7007-4D32-BE23-0D66E600D697,Lead Strong Conference 2016,2016-01-07,2016-01-09,Corporate Internal,Closed Reg Event,345
2016-01-04,BDBAB065-EE03-4A33-B9CD-18DDE02C090B,MBA Home Show,2016-01-08,2016-01-10,Conference (>2:1 session:exhibitor ratio),Open Reg Event,231
2016-01-04,4941DD73-A202-4863-98D1-CFF09297C7BD,Natixis 2016 Global Meeting,2016-01-04,2016-01-07,Corporate Internal,Closed Reg Event,241
2016-01-04,AB913A03-6E9C-4DB0-A1F1-2365D0CB3038,Novartis @ J.P. Morgan 2016,2016-01-10,2016-01-12,Corporate Internal,Closed Reg Event,50
2016-01-04,59519ABB-E6A0-44E9-9EA3-6768B3CA6CC8,NRECA CEO Close-Up 2016,2016-01-09,2016-01-13,Conference (>2:1 session:exhibitor ratio),Open Reg Event,438
2016-01-04,4B316BA8-21E5-4EEA-8AA4-8EAE2017F807,OMEL 2016 Conference,2016-01-07,2016-01-08,_Unknown,Open Reg Event,186
2016-01-04,96C988C2-B10C-469A-90FC-8FD72927364D,ProSource 2016 Winter Convention,2016-01-06,2016-01-08,Corporate Internal,Closed Reg Event,181
2016-01-04,0E1187A5-506A-49B8-9552-28D8A89EB74C,Resident/Fellows Course,2016-01-07,2016-01-10,Conference (>2:1 session:exhibitor ratio),Open Reg Event,169
2016-01-04,4FA2ED3C-3EF1-49CC-9A6C-5D6C1CA6A0F8,RISE 2016,2016-01-10,2016-01-15,Corporate Internal,Closed Reg Event,530
2016-01-04,E7ED9726-87A0-4FB3-B3F0-12E51C57E8B6,Senior Delegates Research Meeting 2016,2016-01-07,2016-01-08,Corporate External,Closed Reg Event,84
2016-01-04,9D736BD5-FF19-4B0E-A257-9E47EEFE53AD,SKO Nanjing 2016,2016-01-10,2016-01-14,Corporate Internal,Closed Reg Event,386
2016-01-04,539AF0AE-DCF9-4BB5-BC85-AC35E70F1798,SoftwareONE National Sales Kickoff 2016,2016-01-04,2016-01-08,Corporate Internal,Closed Reg Event,388
2016-01-04,378066FE-4EF6-4735-A251-54BD8415B070,STL Wedding Show January 2016,2016-01-09,2016-01-10,Expo (<2:1 session:exhibitor ratio),Open Reg Event,710
2016-01-04,4F62AFE0-33BD-4A6C-B940-66C0F02DCF5E,TISLR12 2016,2016-01-04,2016-01-07,Conference (>2:1 session:exhibitor ratio),Open Reg Event,213
2016-01-04,D6B476E0-D843-44AC-B5D2-4AF54F0256E8,UNITE,2016-01-06,2016-01-08,Corporate Internal,Closed Reg Event,2045
2016-01-04,69225D84-0772-4B8F-8461-DCEDB7F89CD1,Vancouver Wedding Shows,2016-01-09,2016-01-10,Expo (<2:1 session:exhibitor ratio),Open Reg Event,47
2016-01-04,FF296EC3-524D-4862-AAFC-7780D93CB351,Winter Convention 2016: Engage,2016-01-08,2016-01-10,Conference (>2:1 session:exhibitor ratio),Closed Reg Event,755
