Week Of,Event Type,Active Users Count
Week of 2016-01-01,Conference,0
Week of 2016-01-01,Corporate External,0
Week of 2016-01-01,Corporate Internal,893
Week of 2016-01-01,Expo,24
Week of 2016-01-01,_Unknown,0
Week of 2016-01-04,Conference,3381
Week of 2016-01-04,Corporate External,1055
Week of 2016-01-04,Corporate Internal,7587
Week of 2016-01-04,Expo,805
Week of 2016-01-04,_Unknown,186
Week of 2016-01-11,Conference,2592
Week of 2016-01-11,Corporate External,271
Week of 2016-01-11,Corporate Internal,11270
Week of 2016-01-11,Expo,65
Week of 2016-01-11,_Unknown,406
Week of 2016-01-18,Conference,9589
Week of 2016-01-18,Corporate External,4161
Week of 2016-01-18,Corporate Internal,13660
Week of 2016-01-18,Expo,2301
Week of 2016-01-18,_Unknown,210
Week of 2016-01-25,Conference,2218
Week of 2016-01-25,Corporate External,3838
Week of 2016-01-25,Corporate Internal,12980
Week of 2016-01-25,Expo,4945
Week of 2016-01-25,_Unknown,448
Week of 2016-02-01,Conference,21084
Week of 2016-02-01,Corporate External,2068
Week of 2016-02-01,Corporate Internal,8024
Week of 2016-02-01,Expo,1408
Week of 2016-02-01,_Unknown,532
Week of 2016-02-08,Conference,9267
Week of 2016-02-08,Corporate External,7397
Week of 2016-02-08,Corporate Internal,5340
Week of 2016-02-08,Expo,3145
Week of 2016-02-08,_Unknown,3457
Week of 2016-02-15,Conference,8488
Week of 2016-02-15,Corporate External,3170
Week of 2016-02-15,Corporate Internal,6537
Week of 2016-02-15,Expo,39
Week of 2016-02-15,_Unknown,2200
Week of 2016-02-22,Conference,10696
Week of 2016-02-22,Corporate External,3120
Week of 2016-02-22,Corporate Internal,6426
Week of 2016-02-22,Expo,3436
Week of 2016-02-22,_Unknown,936
Week of 2016-02-29,Conference,266
Week of 2016-02-29,Corporate External,52
Week of 2016-02-29,Corporate Internal,1893
Week of 2016-02-29,Expo,0
Week of 2016-02-29,_Unknown,531
