Week Of,Application ID,Event Name,Event Start Date,Event End Date,Users,Active Users,Adoption %
2016-01-01,754C8A4B-00C6-4FA2-8779-C7C1420C4706,2016 National Sales Meeting,2016-01-03,2016-01-10,856,750,0.87500000000000000000
2016-01-01,160F5BF6-7E95-4442-B0CA-3A955DC6832E,Diversity & Inclusion,2016-01-01,2016-01-01,65,49,0.75384615384615384615
2016-01-01,D18B5954-1116-46B9-BA77-2760EF7C1015,Oncology Managers Meeting 2016-01,2016-01-03,2016-01-08,155,94,0.60000000000000000000
2016-01-04,70D39F42-0323-4FBD-9B07-46327D348828,2016 AmWINS Sales and Leadership Conference,2016-01-10,2016-01-12,587,552,0.92163543441226575809
2016-01-04,4F300096-DC9D-48C8-8894-7F8F231D99B1,2016 NASCAR Summit,2016-01-10,2016-01-13,673,482,0.70728083209509658247
2016-01-04,BB1174E3-64EA-4DD6-B7BD-56F5B0EB9B7C,2016 SE Regional Fruit & Vegetable Conference,2016-01-07,2016-01-10,3209,465,0.14365846057961981926
2016-01-04,F339BD76-368C-476B-AD3E-1EEFA50BF823,Accelerate 2016,2016-01-10,2016-01-14,1584,1231,0.77714646464646464646
2016-01-04,361AC0DB-FC7F-4D09-BB8D-39A74C326005,FleetPride 2016 Kickoff Meeting,2016-01-06,2016-01-10,1265,628,0.49565217391304347826
2016-01-04,1725CB89-CCC7-4071-A089-3B8C82BC8BB6,Full Throttle 1/8/16,2016-01-08,2016-01-08,772,537,0.69559585492227979275
2016-01-04,E7536221-B17D-455D-AD73-DAF89E69BFD3,GE Healthcare Imaging Leadership Meeting,2016-01-09,2016-01-09,183,163,0.88524590163934426230
2016-01-04,A49C27C5-FDBC-43EC-90CC-E09A01F80500,GE Power Leadership Meeting,2016-01-06,2016-01-08,169,138,0.81656804733727810651
2016-01-04,75129F1A-ACD0-4D5C-8CCD-877EF577269F,Global Sales and Marketing,2016-01-10,2016-01-15,480,349,0.72500000000000000000
2016-01-04,8D9945B7-0573-4081-9C54-21C4ECAD74B9,IDEAS Connected 2016,2016-01-10,2016-01-15,1598,971,0.60513141426783479349
2016-01-04,32CD7D04-001B-4846-8D5A-9BB7B1D62AD7,iShares 2016 Institutional Sales Conference,2016-01-06,2016-01-07,167,148,0.88023952095808383234
2016-01-04,5613BEFB-1442-480C-95A6-12BA23E0C711,JJ CES,2016-01-06,2016-01-09,57,48,0.84210526315789473684
2016-01-04,4E6E92B0-732D-475B-83E8-91F9F9DC7594,Jump Start 1/4/16,2016-01-04,2016-01-04,65,50,0.76923076923076923077
2016-01-04,73F42CB6-5FD1-4115-A647-E10AC8ACF0BF,KronosLM-DC15,2016-01-04,2016-01-10,366,253,0.68579234972677595628
2016-01-04,91C3E987-7007-4D32-BE23-0D66E600D697,Lead Strong Conference 2016,2016-01-07,2016-01-09,450,345,0.75333333333333333333
2016-01-04,4941DD73-A202-4863-98D1-CFF09297C7BD,Natixis 2016 Global Meeting,2016-01-04,2016-01-07,255,241,0.93333333333333333333
2016-01-04,AB913A03-6E9C-4DB0-A1F1-2365D0CB3038,Novartis @ J.P. Morgan 2016,2016-01-10,2016-01-12,166,50,0.30120481927710843373
2016-01-04,96C988C2-B10C-469A-90FC-8FD72927364D,ProSource 2016 Winter Convention,2016-01-06,2016-01-08,252,181,0.71825396825396825397
2016-01-04,4FA2ED3C-3EF1-49CC-9A6C-5D6C1CA6A0F8,RISE 2016,2016-01-10,2016-01-15,561,530,0.94474153297682709447
2016-01-04,E7ED9726-87A0-4FB3-B3F0-12E51C57E8B6,Senior Delegates Research Meeting 2016,2016-01-07,2016-01-08,274,84,0.28832116788321167883
2016-01-04,9D736BD5-FF19-4B0E-A257-9E47EEFE53AD,SKO Nanjing 2016,2016-01-10,2016-01-14,457,386,0.84463894967177242888
2016-01-04,539AF0AE-DCF9-4BB5-BC85-AC35E70F1798,SoftwareONE National Sales Kickoff 2016,2016-01-04,2016-01-08,444,388,0.87162162162162162162
2016-01-04,D6B476E0-D843-44AC-B5D2-4AF54F0256E8,UNITE,2016-01-06,2016-01-08,7836,2045,0.26071975497702909648
2016-01-04,FF296EC3-524D-4862-AAFC-7780D93CB351,Winter Convention 2016: Engage,2016-01-08,2016-01-10,1056,755,0.71212121212121212121
2016-01-11,A8061738-6062-4BE9-9B82-60C409156DF2,2015 Annual Achievers Conference,2016-01-17,2016-01-23,324,264,0.80864197530864197531
2016-01-11,EF27FAC4-ADCB-4CED-AADA-9E98C3FA7E1B,2015 Conférence Annuelle Excellence,2016-01-17,2016-01-23,315,46,0.14603174603174603175
